nom,name,color
"Catholique","Catholic","#7199F0"
"Protestant","Prostestant","#AAD1E3"
"Orthodoxe","Orthodox","#A7A7D8"
"Anglican","Anglican","#AB89F1"
"Others Christians","Autres Chrétiens","#f00"
"Sunnite","Sunni","#82C7A1"
"Shiite","Shi'a","#9DE47A"
"Juif","Judaism","#F08686"
"Animiste","Animist","#EECC5C" 
"Bouddhiste","Buddhism","#DFB561"
"Taoiste","Taoism","#D69773" 
"Hindou","Hindu","#EC7F4E" 
"Confusianiste","Confusianism","#C37FA6" 
"Syncrétisme","Syncretism","#D9469F"
"Non religieux","Non-religious","#222"
"Autres","Others","#DDD" 
